Initial,Date,Course_ID,Time(m),Summary
MH,1/8/2024,CS 150,50,Class using Python and GitHub
MH,1/8/2024,CS 415,50,Class and Homework over Protocols
MH,1/9/2024,DS 160,75,Class using Datasets
MH,1/9/2024,CS 450,75,Class and Beginning Project Proposal
MH,1/10/2024,CS 150,50,Class using Python
MH,1/10/2024,CS 415,50,Class Lecture
MH,1/11/2024,DS 160,75,Class Lecture
MH,1/11/2024,CS 450,75,Writing Project Proposal
MH,1/12/2024,CS 150,50,Class Lecture
MH,1/12/2024,CS 415,50,Class Lecture
MH,1/16/2024,DS 160,75,Class Lecture
MH,1/16/2024,CS 450,75,Writing Project Proposal
MH,1/17/2024,CS 150,50,In-Class Assignment
MH,1/17/2024,CS 415,50,Class Lecture
MH,1/18/2024,DS 160,75,Class Lecture
MH,1/18/2024,CS 450,75,Writing Project Proposal
MH,1/19/2024,CS 150,50,In-Class Assignment
MH,1/19/2024,CS 415,50,In-Class Assignment
MH,1/22/2024,CS 150,50,Class Lecture
MH,1/22/2024,CS 415,50,Class Lecture
MH,1/23/2024,DS 160,75,In-Class Assignment
MH,1/23/2024,CS 450,75,Writing Project Proposal
MH,1/24/2024,CS 150,50,Class Lecture
MH,1/24/2024,CS 415,50,Class Lecture
MH,1/25/2024,DS 160,75,Class Lecture
MH,1/25/2024,CS 450,75,Writing Project Proposal
MH,1/26/2024,CS 150,50,Class Lecture
MH,1/26/2024,CS 415,50,In-Class Assignment
MH,1/29/2024,CS 150,50,In-Class Assignment
MH,1/29/2024,CS 415,50,Class Lecture
MH,1/30/2024,DS 160,75,Class Lecture
MH,1/30/2024,CS 450,75,Writing Project Proposal
MH,1/31/2024,CS 150,50,In-Class Assignment
MH,1/31/2024,CS 415,50,Class Lecture
MH,2/1/2024,DS 160,75,In-Class Assignment
MH,2/1/2024,CS 450,75,Writing Project Proposal
MH,2/2/2024,CS 150,50,In-Class Assignment
MH,2/2/2024,CS 415,50,In-Class Assignment
MH,2/5/2024,CS 150,50,Class Lecture
MH,2/5/2024,CS 415,50,Class Lecture
MH,2/6/2024,DS 160,75,In-Class Assignment
MH,2/6/2024,CS 450,75,Practice Field Test
MH,2/7/2024,CS 415,50,Class Lecture and In-Class Assignment
MH,2/8/2024,DS 160,75,Presentation about DS Jobs
MH,2/8/2024,CS 450,75,Practive Field Test Results
MH,2/9/2024,CS 150,50,In-Class Assignment
MH,2/9/2024,CS 415,50,In-Class Assignment
MH,2/12/2024,CS 150,50,Class Lecture
MH,2/12/2024,CS 415,50,Presentation from CS Candidate
MH,2/12/2024,CS 415,120,Studying for Midterm Exam
MH,2/13/2024,DS 160,75,Class Lecture
MH,2/13/2024,CS 450,75,Major Field Test Prep
MH,2/14/2024,CS 150,50,Class Lecture
MH,2/14/2024,CS 450,50,Midterm Exam
MH,2/15/2024,DS 160,75,In-Class Assignment
MH,2/15/2024,CS 450,60,Teaching Demonstration
MH,2/16/2024,CS 150,50,In-Class Assignment
MH,2/16/2024,CS 415,50,Midterm Makeup Questions
MH,2/19/2024,CS150,50,Class Lecture
MH,2/19/2024,CS 415,50,Class Lecture
